premise,hypothesis,label,idx
"A collection of related data elements that relate to a specific event, transaction, or occurrence (for example, questionnaire responses about one individual-such as age, sex, and marital status).","A collection of data, such as questionnaire responses, about a specific transaction or occurence.",0,95433
and i grew a thirty four and a half pound watermelon yeah absolutely tasteless had no taste whatsoever uh-huh,I grew a large watermelon that was absolutely tasteless.,0,389444
A story says robot insects will soon be deployed by the military.,There's a story that claims the military may start using robotic insects.,0,66468
but what you don't forget is the growing up it's really the period when people become adults i mean people who don't go to college become adults in other ways but really it's the entry into adulthood i think and i think that the best way to choose a college is to decide what kind of environment you want to,"but what you don't forget is the growing up, it's really the period when people become adults, i mean people who don't go to college become adults in other ways but really it's the entry into adulthood, and i think that's the best way to choose a college: decide what kind of environment you want to be in.",0,245521
Today it is the site of bullfights.,This place hosts bullfight today.,0,199397
"He was the example of professionalism, community service and compassion.",He embodied community service and was compassionate.,0,191026
To make such a trip you will need either a Chinese visa or a special group-tour permit for Tibet.,A special group-tour permit from Tibet may be used in lieu of a visa from China. ,0,70124
"Delicious dish, but watch out for the aftertaste.",The dish is delicious.,0,302761
They sank into it at once and began twinkling.,"They were not twinkling, and then they began to twinkle. ",0,143287
", that I was up to .67 Keillor Units, but that was just bravado and doesn't include royalties, speaking fees, catalog sales, ancillary rights, etc.",Royalties and speaking fees are not included in the figure.,0,44593
Spitting tobacco juice into the Styrofoam cup is a nice detail.,It is good to include spitting tobacco juice into the cup.,0,331546
"There are degrees of knowledge, of course.",knowledge can be divided into degrees,0,55023
which was about all i wanted to understand,That was all I wanted to comprehend.,0,253611
"There's only one thing I can't make out, why didn't he destroy it at once when he got hold of it?",He kept it safe even after he got hold of it.,0,228563
At least you know they're not reading a book or anything.,You're aware that they aren't reading a book.,0,322729
Postal Service's inbound revenues and its outbound attributable costs.,Both the incoming income and the outgoing costs of the Postal Service.,0,89851
The estimated steel requirement for a 500 MWe ACI system is indicated in Table 4-1.,The approximate steel needs for a 500 MWe ACI system is shown in Table 4-1.,0,191867
"Even higher up in the mountains, Kastro was built to evade the attention of marauding pirates, and still proves elusive to all but the most determined visitors.",Only the most determined visitors make it up the mountains to Kastro.,0,158587
"Under this approach, an owner prepares a project scope definition and then engages a single entity that will provide all services necessary to complete the design and construct the facility.","With this approach, the owner will involve something that is important for the completion of the facility. ",0,305573
A productivity value over 100 indicates that fewer man-hours are needed to accomplish the goal than expected.,A productivity value over 100 shows that fewer man-hours will be needed than they expected.,0,169527
"Acrosea narrow channel sits Antiparosetranslated as opposite Parose, with a main settlement which takes you back to the Greek Islands of twenty years ago.",The main settlement takes you back to the Greek Islands of over ten years ago.,0,15878
This subcontinent is so rich and varied that the choice of what to see on a first visit can be daunting.,It can be daunting to decide what to see on a first visit.,0,4542
"And that's something I'm not proud of; I think that happening to me is the nightmare of my life, and I've made it a point to kind of try to do the right thing ever since that.",I'm proud that I try to do the right thing.,0,222657
Implementing screening in clinical practice,Clinical practice is an area where screening must be implemented.,0,203017
i don't know i i don't know but what they do is what they did i don't know is buy all the parts that IBM would throw away and build an IBM PC with all the parts that IBM would throw away yeah,They would buy all the parts IBM threw away and build their own PCs.,0,127911
"People like those legal services heroes in Arkansas, Illinois, Florida and Alabama who have worked closely and in partnership with LSC to expand access to and enhance resources for legal services providers and their clients.",People who work with LSC to give access to more people are heroes.,0,163604
but as far as being able to really leave anything,I don't know that I'm able to leave anything.,0,76619
And only now did he have time to relish his own excited pride and pleasure.,Now he had the time to enjoy his pride and pleasure.,0,106218
Netscape also sent him an explanation of why predation would work in this particular market.,Netscape told him why predation would be best.,0,123310
They don't want to discourage me altogether.,They want me to have some hope and not give up entirely.,0,114684
yeah i remember those we've never had one my parents never had one but um,"My parents had one of those, but I never have.",0,158317
they didn't fight together they fought individually and they failed individually and then that was it then they had to have the master beat him,They didn't fight together and that's why they failed.,0,321453
The superficial  The even split of many of his assets vindicates her argument and bodes well for corporate wives.,"She got here share of his money, which is a good omen for other women in her situation.",0,293953
"The colors looked different, blues appearing as green.",The colors looked green but were really blue.,0,257501
"From Jerusalem Street, a flight of steep steps, known as Ma'alot Olei Hagardom Street, leads downhill.",The flight of steps called Ma'alot Olei Hagardom Street goes downhill from Jerusalem Street.,0,90534
Pete Dawkins in New Jersey in 1988,Pete Dawkins went to New Jersey.,0,331438
"This site is likely to have been near the fortress entrance, or somewhat past the arch, which was built in a.d. 135 and now named Ecce Homo Arch. ",The arch past the fortress entrance was built in 135.,0,356345
"The fights are riotous slapstick set  In the art museum finale, Chan fends off hordes of assassins while catching giant, priceless Ming vases as they tumble from their pedestals.",Chan has to balance fighting assassins with protecting vases.,0,274770
well you've got part of your family up here then,You have got part of your family in the same place then.,0,272105
i think brutally i mean this guy point blank just shot him in the head i mean just uh for no reason i mean he the cop pulled him over for like a manor minor traffic thing you know and,The guy shot him point blank in the head for no reason.,0,69386
"You can also plant your own tree at the plantation, which can grow next to those planted by the  great and good.  ","At the plantation, you are allowed to plant your own tree.",0,117238
oh i can't even i can't imagine it,I can't even imagine it,0,41821
"Requests for interpretations should be directed to OMB's Office of Federal Financial Management or to the Executive Director, FASAB.",The office of Federal Financial Management or the Execuitve Director of FASAB are the ones who make interpretations of rules.,0,323439
"Other allowable expenditures could include buying a car for medical transportation needs, making home repairs or paying property taxes.",They are allowed to spend the money on a car purchase for medical needs.,0,300340
"The Times chooses its lead story with exacting care and great pride, seeking input from every department.",Every department got to weigh in on the choice of the lead story.,0,366865
Other water-based activities include a glass-bottomed boat-ride or a trip under the water in the Aquascope submarine to see the excellent underwater environment.,There are is more than one water-based activity to choose from.,0,258244
Three successive elected kings emerged from the Waza dynasty of Sweden.,The Waza dynasty produced three kings in a row.,0,90571
"They got to see who I really am, he said.",He said they were able to view who he truly is. ,0,373643
"And the fort always looms on the horizon, a constant reminder of the town's war-torn history.",The fort on the horizon is a remnant of the wars that were once fought around the town.,0,219618
and be ready to cry or whatever,Prepare to be emotional and sensitive.,0,295615
you know and and do the job well,Do a good job there.,0,207497
"The woman looks brainless, an antique statue of Venus with no head.",The woman looks like an old sculpture.,0,303777
yeah yeah so uh but yeah i'd love to go catch catch like the Marlins or whatever in the deep sea fishing,I want to go deep sea fishing and catch marlins.,0,341595
'And then what?',What happens then?,0,45886
"We asked officials at the private sector companies and state governments profiled in the case studies to verify the accuracy of the information presented on their respective organizations and incorporated their comments as appropriate; however, we did not independently verify the accuracy of that information.",Officials were asked to verify the accuracy of the information.,0,157738
This paper adopts the analysis of street delivery costs presented by the U.S.,The paper analyzed the street delivery costs presented in the US,0,279759
"According to the Department, this rule was reviewed under Executive Order",The rule was reviewed according to the Department. ,0,141842
You want to get bloated or something?,Do you want to get bloated?,0,238206
"identified the management of student financial aid programs, with more than $150 billion in outstanding student loans, as being at high-risk to waste, fraud, abuse, and mismanagement.",The student aid program has more than $150 million in outstanding loans.,0,199792
"""You think someone may be watchin' the Stronghold?"" Drew asked as he buckled his saddlebags.","As drew buckled his saddlebags he asked, ""Do you suppose someone is watching the stronghold?""",0,241641
Many experts advocate focusing screening on some of the highest-risk groups or screening with greater intensity and different tools in these groups.,Experts advise focusing on screening highest-risk groups with more attention.,0,283616
"focus on management First financial laws  Workload Yellowbook_ management,",There needs to be focus on management First financial laws.,0,312534
uh what am i taking uh Master's in public administration,I'm getting a Master's.,0,164971
"Dutch and Rembrandt's cheerful Self-Portrait with a Toque, his beloved Hendrickje Stoffels, also portrayed nude in Bathsheba Bathing; Van Dyck's gracious, dignified Charles I of England; among the scores of Rubens, his tenderly personal Helena Fourment; Jordaens' Four Evangelists as diligent Dutchmen.",The self portrait displays the Rembrandt naked.,0,88945
"And by selling the media distinctions without a difference, he intends to keep it that way.",No media distinction will be sold differently than another.,0,301331
Liberals lauded his nonviolence.,His nonviolence was pleasing to liberals.,0,265898
"Neither did he notice at a small dog, belonging emotionally and lawfully to an elegant female professor from the Department of Westernmostentatious European Polonisation, who sat reading a newspaper on a nearby bench.",The female professor was an owner of a small dog. ,0,55663
The latter are helpful in retrospective cumulation as a means of obtaining information from the authors that permits an otherwise unusable case study to be included in the aggregation.,The latter help case studies to be included which would otherwise not be added to the aggregation.,0,253574
"48 As shown in figure 4.5, total Medicare spending (Part A HI and Part B SMI combined) is expected to consume 5 percent of GDP by 2035-more than double today's share of 2 percent.",The total GDP consumption of total Medicare spending by 2035 is depicted in Figure 4.5.,0,204208
you know but i i'm not real sure that we promised them anything,I reckon that we did not make any promises to them.,0,285359
Their factories manufacture a steady supply of ephemeral pop groups.,A steady supply of pop groups come from their factories.,0,6729
"It is haunting its recurring refrain, and keeps pulsing through my mind, now, every day.",It haunts me daily in a pervasive way.,0,175124
They produce plans that link to overall business plans and assign managers to act as liaisons between business units and CIO organizations.,They have plans to assign managers.,0,194487
It was finally consecrated in 1842.,It was consecrated in 1842.,0,306742
"Fortunately, most of the favourite beaches are well protected from waves and undertow, and slope gradually.",The best beaches have gradual slopes and are protected from undertow.,0,134463
Young army officers and the professional classes were becoming increasingly interested in West?Υrn ways of government and social organization.,Some of the officers in the army started learning about western systems of governance. ,0,386918
and uh my father had a small business and she thought that he would incorporate it and use it in the business and he never did he always did everything out by hand he only had three employees so,My father did everything by hand for his small business.,0,190914
Minority students who once might have been admitted to the system's best schools are now finding places at lower-tier schools.,Minority students have to go to lower-tier schools now.,0,363529
"Worship carried on here longer than in other pagan sites in Egypt, with texts stating that pilgrims came as late as the fourth century a.d.",Pilgrims came to worship here as late as 400 A.D.,0,128261
"Some monuments celebrate heroes, commemorate victories, honor kings or saints.","Monuments celebrate heroes, victories, kings and saints.  ",0,170832
4) Distortion,The fourth factor is distortion.,0,290949
"The ideal screen that is accurate, practical, and motivational has not been developed.",The ideal screen hasn't been developed yet ,0,18783
"On the south side of the street in the open ground below the castle and on the site of the formerly marshy Nor' Loch are Princes Street Gardens, a welcome place to relax in a sunny day.",There is a castle near to the Princes Street Gardens.,0,172870
" ""'Tis obviously not a thing of reason,"" Garm told him severely.",Garm spoke to him in a severe way.,0,75523
"The following hotels are listed alphabetically in three price categories, grouped according to regions within the Los Angeles area and Orange County.",There are three tiers of affordability regarding the hotels near LA and Orange County.,0,26536
"Although the nature of their operations differed, the organizations all had embraced five risk management principles, which are listed in the box below.",The same five risk management principles were embraced by all of the organizations.,0,261155
"A casually elegant hotel set in what was once a pineapple plantation, with seaside freshwater pool and opportunities for snorkeling in crystal clear waters of a private white-sand beach.",The hotel features a freshwater pool and snorkeling opportunities.,0,201246
"The station itself divides Shinjuku into two distinctly different areas, east and west.","Shinjuku is divided into two different areas, east and west, by the station.",0,173088
oh okay so so i mean it's like this this town probably has like two hundred and fifty thousand people and that's about it,"I'm in a town with 250,000 people. ",0,123960
"Several current publications have begun to remedy this lack of prospective, randomized trials.",There are trials that are not randomized and lack prospectiveness. ,0,129164
"The Victorians reworked the history and legends of Scotland to add romantic, neo-Gothic touches.",The Victorians reworked the history to make them sound better.,0,213194
A bookcase crammed with tightly squeezed volumes provided a resting place for pieces of native pottery bearing grotesque animal designs.,"The native pottery, bearing ugly animal designs, rested on the stuffed bookcase.",0,141705
On the chest of drawers there was a tray with a spirit lamp and a small saucepan on it. ,On the chet sat a spirit lamp and saucepan. ,0,385178
The mosque and tomb were erected on the bed of sand that covered the temple and now sit five m (20 ft) or so above the excavated floor level.,Both the mosque and tomb were built on the sand that covered a temple.  ,0,41102
uh not Val Kilmer the um Tom McLaughlin who plays one of the other characters in the band one of the other men in the band uh was on was on uh Arsenio and he was talking about it you know and uh he said that uh they tried to stick pretty much to you know,Tom McLaughlin plays a musician.,0,54595
"Finally, some good news.","Finally, some welcome news.",0,388759
that's that they're looking at it differently it amounts to that you have to pay extra if you use your credit card but,You get a cash discount when you do not use your card.  ,1,124276
yeah they're they're all over the country now they uh they they used to be good i remember when they first opened up they did have good bargains,Borders book store had some great bargains when it first opened. ,1,283709
'Ah.' Ben smiled.,Ben gave a relieved expression and continued to drink his coffee.,1,310582
the kids could play in it but it'd be a bright sunny day and you know it would it would melt and you could drive around and it was really no big deal,It never caused a problem with driving.,1,370406
One is that genes influence personality so powerfully that mixing unrelated siblings is like mixing oil and water.,"An emulsifier helps water to mix with oil, but that doesn't work with genes.",1,187773
"The extraordinary man, the man who believes he can change the world, hungers for the power to do it and pursues that power relentlessly.",A man who believes that he can change the world stops at nothing when it comes to accomplishing that which he has set his mind to.,1,205287
"Adrin ran his hand across the brill's thick flank, feeling the heat underneath.",Adrin could feel the heat of the blood under the brill's flank.,1,170828
"The last major one, in 1956, inflicted a great deal of damage to the towns on the main island.",The earthquake damaged many of the building's stability on the main island.,1,219768
Growing up to be Gwyneth Paltrow makes her more bewitching but no less blank.,"The older a woman gets, the more bewitching she becomes.",1,182614
oh if you had a thousand dollars that means there's another hundred dollar deduction i've given you,"If you had $1000, you get a deduction in January.",1,357046
"Scorsese's own Getterdammerung came with New York, New York , a hugely ambitious jazz epic starring De Niro and Liza Minelli (Scorsese's mistress at the time), and the first of a series of flops that continued with Raging Bull and The King of Comedy .",There are many ways in which jazz musicians become popular.,1,10562
is it well that's good,Is it really? Well that's good for you.,1,60762
Prior GAO reports and testimonies discuss SEC resource issues and the need for the SEC to improve its strategic planning to more effectively manage its operations and limited resources.,SEC costs have tripled in the last 20 years.,1,154630
"Similarly, the last number in Column (9) shows that the total First-Class volume was 99.",Column 8 deals with second-class volume.,1,262164
"Although the views about how an organization can change its culture vary considerably, the organizations we studied identified leadership as the most important factor in successfully making cultural changes.",All of the organizations said that company leaders need to teach by example when it comes to culture change.,1,232939
Actuarial evidence suggests that individuals with serious preexisting cardiovascular conditions have a remaining life expectancy of around 5 years.,"Individuals with serious cardiovascular conditions have a reduced life expectancy, but medicine is changing that.",1,310636
is that usually what you tell them in the letter,"Is this the type of thing you write in all of your letters, or are you more friendly?",1,259763
Only as he cocked back his hammers did he realize that Adrin had not yet fired.,Adrin hadn't fired off his pistols yet.,1,140011
EPA has submitted an Information Collection Request (ICR) document to the Office of Management and Budget for approval.,"An ICR document has been submitted by EPA to the Office of Management and Budget for approval, said the director.",1,222967
Topham took a chained key from the pocket of his fancy vest and went to fit it into a lock concealed in the carved foliage of the cupboard.,Topham opened the cupboard and pulled out a stack of papers.,1,113822
We modeled changes in ozone in the eastern U.S. using the Comprehensive Air Quality Model with Extensions (CAMx).,The changes in ozone in the east US were almost catastrophic,1,334226
"Ah, I should like to meet him Mr. Brown."" There was a steely ring in Whittington's voice as he replied: ""Who knows? ",Mr. Brown is a close acquaintance of Whittington's.,1,83635
Its volume declined by 1.9 billion pieces between 1990 and 1997,Quality improved.,1,304283
"By the 1980s, thanks to the broad avenues and new subway s tops built for the games, this had become one of the liveliest, trendiest, and demographically youngest quarters of the city.",Many people that lived in different areas chose to move where the broad avenues and new subways were.,1,217669
"However, at the organizations we studied, as at federal agencies, security is often a collateral duty, rather than a full-time job, and the individuals assigned frequently have limited technical expertise.",Security only takes about 10% of their time and money.,1,160170
VF excerpts two new books about Michael Jordan.,Michael Jordan is a famous basketball player. ,1,69865
"The double walls, built in the fifth century, during the reign of the Emperor Theodosius, stretch 61.2 km (4 miles) from the Sea of Marmara to the Golden Horn.",The Emperor Theodosius built the double walls to guard the city against its many enemies.,1,359599
History lives.),"History continues, therefore it lives. ",1,380873
well it depends if they're cooked in,My eating it depends on whether it is cooked in something else or not.,1,167376
"When Hideyoshi died in 1598, he hoped to have his five-year-old son continue his  dynasty,  initially under the tutelage of five regents.","When he died in 1598, his son was already prepared to take the throne.",1,335513
"Since it had started so promising, he finished a six-pack of beer and threw himself onto the bed to calmly think up new ideas.",He could only afford to drink a six pack of beer.,1,15794
uh because you  because even even my oldest uh child when he comes uh comes to the house he's still he's still my my my child and and i don't think of him as an adult yet and uh that that's one of his complaints,My oldest child hates that i don't yet think of him as an adult.,1,7934
"Which was only fair, because he seemed to be salivating less over America's new golden girls than over his giant tub of fried something or other--popcorn?",He liked the popcorn more than the women because the women were too ugly for him.,1,232887
"All rooms have either ocean or mountain view, air conditioning, balcony or patio, king-sized beds, satellite TV, compact disc/cassette players, and in-room safes.","All the rooms have great views, but the ocean views are the best.",1,249058
Evidence as to the financial difficulties in which the prisoner had found himself at the end of July. ,Bank statements showing the prisoner's financial position.,1,60063
This rule was promulgated through the general notice of proposed rulemaking procedures of the Act,This rule was put forward for the benefit of the organization.,1,220082
"This museum displays Karagez shadow puppets, made from coloured, translucent camelskin.",Making the puppets out of camelskin is very controversial and encouraged more people to come to the museum.,1,78536
"There is a notable collection of Irish art, including a roomful of Jack Yeats's paintings.",Yeats made a significant contribution to Irish art.,1,70502
The city's premier venue is downtown's Music Ceter.,The venue offers a variety of shows.,1,74445
"Most young women were terrified of the ""old bear,"" as they termed him.","""Old bear"" was a serial killer who kidnapped young women.",1,358017
so we got our fill we went home at Christmas,It was a good visit.,1,61025
"After an admiring review of Grizzard's wit, the author turns on the writer for peddling a nostalgic vision of a homogeneous pre-integration  Grizzard's idealized South was the world before feminists and affirmative action, when gays stayed in the closet where they belonged, where America pretty much meant the world of small-town white folks like him.",It's Grizzard's third book in this series.,1,326249
9 billion if the value of scale is adjusted for Wachter's wage premium.,Wachter's wage premium was too costly. ,1,273061
"In most instances, the observer is the senior investigator and the only  Margaret Mead in Samoa and Oscar Lewis in Puerto Rico are famous examples.",The observer is a senior investigator of that civilization. ,1,172199
and so my uh transportation costs have gone up by uh five times,"It's worth having a little more room, though.",1,266742
"However, the Federal Government should be able to demonstrate accountability for stewardship PP and E by reporting on its existence and on its condition by a reference to deferred maintenance reported in the financial statements.",The financial statements also need to dmeonstrate payouts to ensure accountability and future investments.,1,54918
Maybe he thought he could run down Kitchell all by hisself.,The lad was arrogant enough to believe he had the strength to best Kitchell.,1,374430
"For centuries, the odysseys of victorious commanders and commercial ventures of local merchants began and ended here.",This was the most popular sea route for centuries.,1,390654
"And do you know, she sat down and CRIED when I told her she couldn't have the flat after all.",She had her hopes hinged on getting that flat which is why she was upset when she couldn't have it. ,1,371032
"Getting the president re-elected is only one of the many, many accomplishments claimed by Morris, who plays both Boswell and Johnson in his memoirs.","Getting the president elected for a third term is one of many accomplishments Morris claims in his memoirs, where he plays both Boswell and Johnson",1,61312
"Every national animal protection organization in the country--representing more than 10 million Americans, and all of which have asked Vice President Al Gore to re-examine the program--would beg to differ.",Every national protection organization in the country does not believe it.,1,132802
"In the discussion of the Regulatory Flexibility Act, the preamble to the final rule states that HUD's Economic Analysis considers the impact of the rule on small entities.",The small entities are the ones most affected by the act.,1,45440
A chain encircled his waist and ended attached to the hilt of a short curved sword sheathed on his side.,He was afraid of losing his sword so he chained it to him.,1,308107
"The motion set sick waves of nausea running through him, but he could see the doctor kneeling on the floor in some sort of pantomime.",The doctor was also experiencing motion sickness.,1,279234
the more disciplined kids you know they're not dealing with the whole gamut of personalities here they're they're private schools do not put up with a child that is uh that much of a problem like most schools have to,Private schools can afford to be pickier about their students so they kick out difficult students. ,1,291423
"Galen (a.d.130 200), the most famous physician in the ancient world after Hippocrates, practised here.",Galen was almost as successful as Hippocrates.,1,52759
"Most people approach Provence from the north; the warmth of the sun, the red-tiled roofs, the cypress trees, the garrigue (scrubland), and the fragrance of lavender alert you that you have arrived.",The fragrance of lavender can only be noted during the summer in Provence.,1,317485
The iron-jawed man dove as the huge axe swung in and shifted as the mountainous man advanced but he did not swing.,"The man ducked out of the way, but was still hit by the axe of the giant man.",1,62019
boy they've really got their uh,they've waited so long for it. ,1,279000
"The museum has stupa railings, and the granite Buddhas date from the ninth century.",These are the old Buddhas were carved from granite by hand.,1,277622
"For a sense of the historic neighborhood's old splendor, start on Piazza Ges?? Nuovo, with its characteristically extravagant Baroque Immacolata column (guglia) in the center.",The architecture in Piazza Ges is baroque.,1,115865
"'I assume your tastes are more refined?' I snapped, almost without thinking.",I snapped back sarcastically when I spoke with my sister about the taste of the strawberries. ,1,217378
"No longer the sole habitat of sun worshippers, the islands welcome thousands of cyclists in early spring; April and May bring hikers to exclaim over wildflowers; and bird-watchers with binoculars and zoom lenses record rarities and migrants on their way north.",Bird-watchers often visit the islands all year round.,1,58893
"A great many of us witness to a faith of grace, not judgment--and do it with grace, not judgment.","And even more of us witness to judgment, not grace.",1,226571
exploads shifts from War and established broadens,War causes many debts.,1,231451
but most of mine that i use is strictly gasoline,Occasionally I'll use a diesel fuel. ,1,89739
the bolts were were English were were English then,Some of the bolts were English.,1,128199
You have to have a sort of bluster.,The bluster helps get you through the hard times.,1,259303
We're not all cowards like you!,You are a coward because you are without honor.,1,184299
I stuck the two pages together round the edge with some gum off an envelope.,I used glue from a white envelope to stick the pages together. ,1,378622
They traveled two weeks to get here with no desire for money or plunder.,"With no desire for money or plunder, they traveled two weeks through the mountains to get here.",1,284902
"The portion is tiny, the chicken is in rubbery cubes so uniform they barely look like food, and the noodles are all clumped together on one side.",The food was disgusting industrial style food.,1,183761
"In applying this requirement, the following factors may influence the auditors' assessment of control ",Next month we will definitely find out if the following factors have an influence.,1,241363
"Oh, some sort of shelter for the poor.",It could be a government housing unit for poor citizens.,1,65384
you know i mean there was people that laughed at me they were Easter eggs then i called the police because i figured if these kids were stealing Easter eggs at ten,The police did not charge any of the kids with a crime.,1,215691
"Next door, the National Museum of Modern Art is, despite its name, mainly devoted to 19th- and 20th-century ceramics.",The National Museum of Modern Art has free entry.,1,355219
And about the lost key and the duplicate?,What about the two keys you found?,1,137542
"All offer a selection of hotels, bars, and restaurants.",They have a great selection of Italian restaurants as well.,1,19055
Why do you know so positively?,Why do you know and are unwillingly tobe wrong?,1,42083
Exactly. ,That is exactly what I saw. ,1,354909
and losing it in the competitive market and a real knowledge uh a lack of understanding how that could be and in the sense that how could America have gone from being number one to possibly being number two to you know our former enemies and things like that and um so i see i see a lot of uh a lot of pessimism growing um and at the same time i think there's there's there's a growing environmentalist movement and sense of corporate responsible increased corporate responsible towards uh you know environmental safety and things like that and that might potentially be sort of the civil right the equivalent of the Civil Rights Act in in the near future,Environmentalism could revive one of the things that make America great.,1,391395
"49 Both of these numbers include both granular and powdered carbon, powdered being preferable to granular for ACI applications.",Both samples are still effective for ACI applications.,1,173531
A thwarted Mongol invasion in 1274 weakened the Kamakura regime.,After the Mongol invasion the Kamakura regime rapidly recovered its strength.,1,215751
And the sixth point? I asked. ,The sixth point wasn't important.,1,313176
"For example, presort discounts have aspects of type 1, type 2, type 3, and maybe some of type 5. Similarly, drop-ship discounts have multiple aspects.","Drop-ship discounts, and their multiple aspects, are generally favored to presort discounts.",1,10947
uh interestingly enough in my younger days i taught school for two years while my husband was getting his business established and i find the changes uh in the school system,The changes really make me think about a change in career.,1,235694
Adrin stole glances at Jon.,Adrin looked at Jon out of the corner of his eye.,1,68014
"Clearly Whittington was making the journey alone, while the other remained in London.",Whittington thought of the other while on the trip.,1,32827
"Two days later, on Fox News Sunday , Gigot still has no answer, asking, Is this a Republican or Democratic Congress?",There aren't many people who enjoy watching Gigot's program.,1,345254
"IFAC is an organization of national professional accountancy organizations that represent accountants employed in public practice, business and industry, the public sector, and education as well as some specialized groups that interface frequently with the profession.",In order to be represented by IFAC you have to pay a monthly membership of 60 dollars. ,1,388238
"But Yokohama's great waterfront, port redevelopment project, museums, and restaurants should still keep it high on your list.",Yokohama should be higher on your list than Osaka.,1,352702
But here he shook his head in answer to his own thoughts.,His own thoughts of the weather led him to shaking his head.,1,131996
Series EE savings bonds when used for qualified education expenses $10,Series EE savings bonds are useful ,1,217730
"Narrow alleyways brim with copper, gold, leather, and alabaster, and the streets are replete with barrow traders touting for customers.",Customers that fill the streets enjoy the touting of traders.,1,201278
Another campy teen horror flick.,The movie is very popular because it is so scary.,1,54516
Barnes asked the executive director.,Barnes had a meeting with the executive director.,1,322054
"However, the centralized kingdom failed to incorporate the Balearics politically or economically.","As a result, the Balearics began to revolt.",1,345680
"Handled in this way, the rates might turn out to be 17a and 23a.",17a is a much better rate than that of 23a.,1,176868
"Only in the country during patron saint day festivals or at a folk dance performance are you likely to see rose, a slave woman's washing dance; grage, with dancers mimicking tapioca graters to the beat of goat-skin drums; the haute-taille, an adaptation with accordion and drums of a European quadrille; or the bel-air, an African-Creole version of a three-figure quadrille.","The biggest date of celebration, oddly enough, is Columbus Day.",1,330879
"Services such as those provided to the residents of Mobile Park Plaza now hang in the balance, in light of Governor Gary Locke's recent cutting of $2.",Governor Locke cut $2 from each entry fee that was supposed to go towards services.,1,84600
Jon bowed.,Jon bowed and smiled.,1,332438
"Today's big donors are more hands-on than their predecessors, an accompanying article says.",There are many donors to the cause said the article.,1,211627
They had shadow gods devoted to it.,There were shadow gods that are devoted to taking over the world.,1,124562
"Also modest, it will not attempt to solve all the problems relating to campaign finance, lobbying, and other activities that allow money to buy influence in politics.",It is moral to influence politics through spending money.,1,212078
"I was bewildered, but I knew that it was no good asking him to explain. ",The man didn't like explaining himself. ,1,107898
"Politicos and analysts told the New York Times that the gaffe won't hurt Jeb or his brother, George W.",The New York Times employs political analysts for their stories and cartoons.,1,170849
"The 257 steps that climb steeply above the main shopping street, the Avenida Ferman Sanz Orrio, lead to the old village.",The steps are so steep that few tourists actually climb the whole way.,1,369752
"Following Ramses II, Ramses III built a vast mortuary complex at Medinet Habu but power was already slipping from royal hands into those of the exclusive and secretive priesthood known as the servants of Amun-Ra.",Ramses III built a giant mortuary to keep all the royalty in it.,1,332782
And the line? To be too evasive would invite suspicion.,It was best to answer as directly as possible without giving anything away.,1,131623
"It lost some of its dynamism because of squabbles following the death of the founder, The Mother.",The schism that took place after the death of The Mother had roots that far predated her demise.,1,354250
In the town of Hiraizumi just a 20-minutes bus ride from Ichino-seki Station you'll find a temple dating from the late Heian period (early 12th century).,The temple has been restored many times. ,1,351153
"Jazz is popular in Istanbul, and many bars and clubs have live bands performing over the weekends.",Many Jazz bands get their start playing in bars in Istanbul.,1,40660
and budget,And the budget ,1,171851
"I hoped you might."" 81 ""I tell you I haven't had one darned word from him since we parted at the depot on Wednesday.""",I haven't had one darned word from him since we fought at the depot before parting on Wednesday.,1,232647
um-hum well that's amazing how i used to when i was in college i used to have the stereo on all the time or i had on MTV or something but ever since i've been out of college,"When I listened to music, I used to turn up the volume really loud so nobody could hear me singing along.",1,16575
DEDICATED COLLECTIONS (OR TAXES) - See earmarked taxes.,Earmarked taxes are likely another word for Dedicated Collections.,1,101478
it's like doctors in lawsuits you know they're kind of fearful of everything,Doctors caught up in lawsuits are only scared of situations that are negative for them,1,216408
but i mean uh we have a a governor here in Maryland who's uh pretty hard nosed and uh he's you know we're three hundred fifty million dollars short and every time he comes up with a plan to cut the money everybody starts screaming and yelling,It is better to run a deficit and maintain the social programs that people rely on.  ,1,298193
"He had the big paper knife in his hand, and 'Mind, Dorcas,' he says, 'you'll have to be very respectful. ",The big paper knife was black colored.,1,165716
well i don't know i think the demands gone uh down a little bit i think you can the prices aren't as high you know and the the Miata Miata was first introduced uh,The demand and price has gone down as well as the quality since they first came out.,1,369146
He saw Susan's eyes on him from under her hood.,He knew she was looking at him from under the hood of her pickup truck. ,1,217411
"Also, all individual health insurance coverage must be guaranteed renewable.",The need for guaranteed renewable individual health insurance is what's best for the country.,1,106815
Across the sheet in neat brown printing ran the words: WITH THE COMPLIMENTS OF Mr. BROWN.,The gift came from Mr. Brown.,1,210088
i guess if you're looking for that you're,"I guess if you're looking to buy a new car, you're going to need money. ",1,235057
but it it's all that it's it's all that uh the new age philosophy and um,The new age philosophy is extremely popular at campus right now.,1,337702
"That is one paragraph out of a 2,000-point essay, Buchanan retorted, suggesting an affinity with Lindbergh.",The essay is 5 pages long and written in Times New Roman.,1,109198
Tests of Evidence,Thorough examination,1,70268
"It's the perfect place for lunch or tea on the terrace, but many visitors, especially those with hiking on their minds, find it an ideal place to stay several days.",You can sit on the terrace and enjoy it between 11 and 1.,1,81035
