sentence,label,idx
"spirit is a visual treat , and it takes chances that are bold by studio standards , ",1,55022
it employs changes that fit it well rather than ones that were imposed for the sake of commercial sensibilities ,1,64501
fest that 'll put hairs on your chest . ,1,6133
audacious-impossible yet compelling ,1,33170
resemble their celebrity parents ,1,54671
"on the cinematic front , look no further than this 20th anniversary edition of the film that spielberg calls ",1,26143
"katz 's documentary does n't have much panache , but with material this rich it does n't need it . ",1,26937
( unintentionally ) funniest moments ,1,27324
avoids most of the pitfalls you 'd expect in such a potentially sudsy set-up ,1,59652
modern-day comedies ,1,17087
"more revealing , more emotional ",1,52005
may pander to our basest desires for payback ,1,17671
laid-back ,1,14181
"singer/composer bryan adams contributes a slew of songs -- a few potential hits , a few more simply intrusive to the story -- but the whole package certainly captures the intended , er , spirit of the piece . ",1,41927
"she nearly glows with enthusiasm , sensuality and a conniving wit . ",1,14638
my little eye is the best little `` horror '' movie i 've seen in years . ,1,56603
as the novel on which it 's based ,1,65609
a wonderfully speculative character ,1,60917
boarders from venice beach that was a deserved co-winner of the audience award for documentaries at the sundance film festival ,1,65691
lots of effort and intelligence ,1,17869
delivers more goodies ,1,35446
men ,1,331
"is a canny crowd pleaser , and the last kiss ... provides more than enough sentimental catharsis for a satisfying evening at the multiplex ",1,13162
intelligent humor ,1,10922
this quality band may pick up new admirers ,1,13266
the bullseye ,1,47013
"to explore its principal characters with honesty , insight and humor ",1,13401
tell a story about the vietnam war before the pathology set in ,1,668
"an enthralling aesthetic experience , ",1,55332
intrigued ,1,25061
acted -- and far less crass - than some other recent efforts ,1,12819
a captivating and intimate study about dying and loving ... ,1,27530
that powerhouse ,1,8575
wonderfully sprawling ,1,29415
a masterpiece ,1,321
catches you ,1,39136
fearlessness ,1,47780
than spiffy bluescreen technique and stylish weaponry ,1,46108
"arrive early and stay late , ",1,21110
grittily beautiful ,1,17527
"challenges perceptions of guilt and innocence , of good guys and bad , and asks us whether a noble end can justify evil means ",1,45297
sassy interpretation ,1,25864
"fashion a brazil-like , hyper-real satire ",1,63613
on the shoulders of its actors ,1,58677
one of the year 's best ,1,53853
as the synergistic impulse that created it ,1,48850
of the finest ,1,58090
piece to watch with kids and use to introduce video as art ,1,60221
"makes it not only a detailed historical document , but an engaging and moving portrait of a subculture ",1,59202
"this remains a film about something , one that attempts and often achieves a level of connection and concern . ",1,26880
near-masterpiece . ,1,57052
a consummate actor incapable of being boring ,1,3441
can see without feeling embarrassed ,1,48276
"seldom hammy , ",1,65384
a compelling pre-wwii drama ,1,53727
"dense , exhilarating documentary . ",1,62593
makes us believe she is kahlo ,1,40871
one of the best ,1,43220
intriguing ,1,5443
every family ,1,21716
catapulting ,1,24857
good-time shenanigans ,1,61017
funny moments ,1,38136
crisper and ,1,14940
this is going to be something really good ,1,62312
especially well-executed ,1,11257
"at times , the movie looks genuinely pretty . ",1,25338
tie together beautifully ,1,62592
"it all plays out ... like a high-end john hughes comedy , a kind of elder bueller 's time out . ",1,29285
most gloriously unsubtle and adrenalized extreme ,1,38790
succeeds as a well-made evocation ,1,12293
"has much to recommend it , even if the top-billed willis is not the most impressive player . ",1,25957
good-looking ,1,2587
"a more credible script , ",1,17615
often-funny ,1,59039
sparking debate and ,1,39262
"a very well-meaning movie , and ",1,59584
"more entertaining , ",1,63975
"a terrific date movie , whatever your orientation . ",1,34671
", joyous celebration ",1,54758
", in the simple telling , proves simultaneously harrowing and uplifting ",1,14208
uncommonly pleasurable ,1,9188
to screen with considerable appeal intact ,1,38351
"liked it because it was so endlessly , grotesquely , inventive ",1,49054
", may not touch the planet 's skin , but understands the workings of its spirit . ",1,30469
"its share of laughs -- sometimes a chuckle , sometimes a guffaw and , to my great pleasure , the occasional belly laugh ",1,11474
enjoy the movie ,1,44935
that strikes a very resonant chord ,1,12285
"approaches his difficult , endless work with remarkable serenity and discipline . ",1,5841
"faith , love and power ",1,6534
"seeing things from new sides , plunging deeper , ",1,60713
that it 's more than a worthwhile effort ,1,43069
"an emotionally and spiritually compelling journey seen through the right eyes , with the right actors and with the kind of visual flair that shows what great cinema can really do . ",1,46733
a determined woman 's courage to find her husband in a war zone ,1,18415
inquisitive film ,1,7092
it 's still entertaining to watch the target practice . ,1,49629
"if you love the music , and i do , its hard to imagine having more fun watching a documentary ... ",1,5621
is an uncompromising film ,1,65977
a hallucinatory dreamscape ,1,33263
"berry 's saucy , full-bodied performance gives this aging series a much needed kick , making `` die another day '' one of the most entertaining bonds in years ",1,59096
"a heart and reality that buoy the film , and at times , elevate it to a superior crime movie ",1,22573
looking like something wholly original ,1,2785
a worthy entry ,1,19184
"their super-powers , their super-simple animation and their super-dooper-adorability intact ",1,15328
"scarily funny , sorrowfully sympathetic to the damage it ",1,18033
is strange and compelling ,1,25978
"would be hard-pressed to find a movie with a bigger , fatter heart than barbershop . ",1,36947
what may be the performances of their careers ,1,21963
"though it was written for no one , but somehow ",1,13082
", moving ",1,55635
"it deserved all the hearts it won -- and wins still , 20 years later . ",1,40098
"a gently funny , sweetly adventurous film ",1,15302
all the outward elements of the original ,1,23158
is a movie that refreshes the mind and spirit along with the body ,1,47108
an interesting bit ,1,18423
( allen ) ,1,11785
", like mike raises some worthwhile themes while delivering a wholesome fantasy for kids . ",1,41675
"rises above easy , cynical potshots at morally bankrupt characters ",1,58606
polished ,1,41851
team ,1,12634
"certainly an entertaining ride , despite many talky , slow scenes ",1,2283
's never been better in this colorful bio-pic of a mexican icon ,1,66025
cutting-edge ,1,30614
"exists , ",1,16151
very expressive ,1,49198
his personal obstacles ,1,34736
's what makes it worth a recommendation ,1,37237
home movie '' is a sweet treasure and something well worth your time . ,1,39393
... the kind of entertainment that parents love to have their kids see . ,1,12482
love stories you will ever see ,1,50248
the new populist comedies that underscore the importance of family tradition and familial community ,1,35455
... an adorably whimsical comedy that deserves more than a passing twinkle . ,1,14329
an absolute joy ,1,31006
while some of the camera work is interesting ,1,37381
'll like it ,1,22938
confident filmmaking ,1,43705
much entertainment value ,1,20606
", then you will probably have a reasonably good time with the salton sea . ",1,60010
"it 's a very sincere work , but it would be better as a diary or documentary . ",1,66318
smart ,1,50898
gets its greatest play from the timeless spectacle of people really talking to each other ,1,10776
to cut a swathe through mainstream hollywood ,1,45666
"beautifully shot , delicately scored and powered by a set of heartfelt performances ",1,59687
"enough to provide the pleasures of a slightly naughty , just-above-average off - broadway play ",1,37790
what emerges is an unsettling picture of childhood innocence combined with indoctrinated prejudice . ,1,8565
"an important movie , or even ",1,38424
full-bodied performance ,1,54615
spirited away is a triumph of imagination ,1,67066
bittersweet dialogue that cuts to the chase of the modern girl 's dilemma ,1,35529
"pokes , provokes , takes expressionistic license and hits a nerve ",1,32735
the most sincere and artful movie ,1,55985
martial arts ,1,12100
will warm your heart ,1,10745
soars ,1,43197
"while the movie is slightly less successful than the first , it 's still a rollicking good time for the most part ",1,33316
dedication ,1,23794
thoughtful and rewarding ,1,12398
cast and well directed - a powerful drama with enough sardonic wit to keep it from being maudlin ,1,16821
watching these two actors play ,1,37093
"a strong-minded viewpoint , or a sense of humor ",1,18846
`` mr. deeds '' is suitable summer entertainment that offers escapism without requiring a great deal of thought . ,1,29450
", an art form at once visceral and spiritual , wonderfully vulgar and sublimely lofty -- and as emotionally grand as life . ",1,13335
's thoroughly winning tone ,1,56803
's yet another cool crime movie that actually manages to bring something new into the mix ,1,42401
"but something far more stylish and cerebral -- and , ",1,55368
"it may scream low budget , but this charmer has a spirit that can not be denied ",1,53855
"but it could be , by its art and heart , a necessary one . ",1,30916
"a delightful , witty , improbable romantic comedy ",1,62991
"the humor , characterization , poignancy , and intelligence ",1,7430
also reminds us of our own responsibility to question what is told as the truth ,1,54035
visual virtuosity ,1,62196
interested in the sights and sounds of battle ,1,40651
debuts by an esteemed writer-actor ,1,50999
"is exceedingly pleasant , designed not to offend ",1,25665
had more fun watching spy than i had with most of the big summer movies . ,1,11813
to make it worth watching ,1,29857
warmed up to him ,1,39703
"captures that perverse element of the kafkaesque where identity , overnight , is robbed and replaced with a persecuted `` other ",1,35726
has become the master of innuendo . ,1,14158
"bill morrison 's decasia is uncompromising , difficult and unbearably beautiful . ",1,33465
enjoy ,1,22086
their outrageousness ,1,22417
scored and powered ,1,36698
great performances ,1,25943
", xxx is a blast of adrenalin , rated eee for excitement . ",1,8009
homage ,1,44097
"a cast of competent performers from movies , television and the theater ",1,46654
chasing who ,1,22945
for all the dolorous trim ,1,46189
intellectual and ,1,66113
made allen 's romantic comedies so pertinent and enduring ,1,51118
a surprisingly funny movie ,1,46117
imagination in the soulful development of two rowdy teenagers ,1,19734
to remarkable performances ,1,61116
a good deal funnier ,1,39368
a comedic moment ,1,10599
wonderfully loopy tale ,1,40326
is worth seeing ,1,38401
true talent ,1,16564
"a genuinely funny ensemble comedy that also asks its audience -- in a heartwarming , nonjudgmental kind of way -- to consider what we value in our daily lives . ",1,44501
big stars and high production values are standard procedure ,1,5067
scarily funny ,1,63063
lighthearted glow ,1,6091
are simply intoxicating . ,1,45008
"it 's an effort to watch this movie , but ",1,59474
stakes out the emotional heart of happy ,1,49602
ian holm conquers france as an earthy napoleon ,1,6878
", dramatically forceful , and beautifully shot ",1,11117
"is a pan-american movie , with moments of genuine insight into the urban heart . ",1,278
ability to right itself precisely when you think it 's in danger of going wrong ,1,23929
illustrated by a winning family story . ,1,14388
congratulate himself for having the guts to confront it ,1,51134
nothing short of refreshing ,1,46886
an important director ,1,11366
engaging mystery ,1,17240
gives us another peek at some of the magic we saw in glitter here in wisegirls ,1,4945
the relationships were wonderful ,1,16973
a breadth of vision and an attention to detail that propels her into the upper echelons of the directing world ,1,54083
"as far as mainstream matinee-style entertainment goes , it does a bang-up job of pleasing the crowds ",1,20127
", like silence , it 's a movie that gets under your skin . ",1,55995
the film has an infectious enthusiasm and ,1,16678
is one of those rare pictures that you root for throughout ,1,60190
a vivid personality ,1,26302
"despite a quieter middle section , involving aragorn 's dreams of arwen , this is even better than the fellowship . ",1,34306
offers a trenchant critique of capitalism ,1,60422
what sets ms. birot 's film apart from others in the genre is a greater attention to the parents -- and particularly the fateful fathers -- in the emotional evolution of the two bewitched adolescents . ,1,66426
spectacularly well ,1,27387
"a smart , provocative drama that does the nearly impossible : it gets under the skin of a man we only know as an evil , monstrous lunatic ",1,5848
last count ,1,25202
a top-notch cast ,1,48098
many can aspire but none can equal ,1,3097
"an articulate , grown-up voice ",1,61599
heaven ,1,32578
emotionally honest ,1,50613
"skillfully assembled , highly polished and ",1,66853
"highly recommended viewing for its courage , ideas , technical proficiency and great acting . ",1,39156
", xxx is a blast of adrenalin , ",1,13228
"warm in its loving yet unforgivingly inconsistent depiction of everyday people , relaxed in its perfect quiet pace and proud in its message . ",1,31620
recommended ,1,28767
more traditionally plotted popcorn thriller ,1,34645
written and directed with brutal honesty and respect for its audience . ,1,3902
"that the director of such hollywood blockbusters as patriot games can still turn out a small , personal film with an emotional wallop ",1,45104
more fascinating -- being real -- than anything seen on jerry springer ,1,58947
what makes it worth a recommendation ,1,7867
offers winning performances and some effecting moments . ,1,42754
"there are laughs aplenty , and , as a bonus , viewers do n't have to worry about being subjected to farts , urine , feces , semen , or any of the other foul substances that have overrun modern-day comedies ",1,674
"has the twinkling eyes , repressed smile and determined face needed to carry out a dickensian hero ",1,48072
"capable of charming the masses with star power , a pop-induced score and sentimental moments that have become a spielberg trademark ",1,43926
strives ,1,25252
a powerful and telling story ,1,1889
a welcome relief from the usual two-dimensional offerings ,1,20897
"his art , which is more than he has ever revealed before about the source of his spiritual survival ",1,23992
"starts out with tremendous promise , ",1,16511
", the story offers a trenchant critique of capitalism . ",1,19720
'll love it ,1,63948
puts a refreshing and comical spin on the all-too-familiar saga of the contemporary single woman . ,1,47087
astonish and entertain ,1,2941
about the astonishingly pivotal role of imagination in the soulful development of two rowdy teenagers ,1,12077
is almost certainly ,1,34191
the last 15 minutes ,1,44396
of modern life ,1,7813
is interesting to witness the conflict from the palestinian side ,1,29617
's something about mary and both american pie movies ,1,8072
"their parents , wise folks that they are ",1,61639
achieve a shock-you-into-laughter intensity of almost dadaist proportions . ,1,35850
precise ,1,56348
the first movie ,1,13938
favor of tradition and warmth ,1,1463
"about cleverness , wit or any other kind of intelligent humor ",1,53871
for some major alterations ,1,3459
"high drama , disney-style - a wing and a prayer and a hunky has-been pursuing his castle in the sky . ",1,64675
", with his brawny frame and cool , composed delivery , fits the bill perfectly ",1,43988
the pristine camerawork ,1,14604
"a good ear for dialogue , and the characters sound like real people ",1,35778
", potent exploration ",1,4813
to get excited about on this dvd ,1,18120
"scenery , vibe and all -- the cinematic equivalent of a big , tender hug ",1,16859
randall wallace ,1,62550
uplifter . ,1,57341
waiting for godard can be fruitful : ` in praise of love ' is the director 's epitaph for himself . ,1,27899
a comedy-drama of nearly epic proportions rooted in a sincere performance by the title character undergoing midlife crisis . ,1,19579
virtuosic set pieces ,1,44021
truly deserving of its oscar nomination ,1,54536
more relevant than 9 1/2 weeks ,1,29630
the best special effects ,1,37083
"an honest , sensitive story ",1,8661
a manically generous christmas vaudeville . ,1,6894
as history ,1,25573
"the fourth `` pokemon '' is a diverting -- if predictable -- adventure suitable for a matinee , with a message that cautions children about disturbing the world 's delicate ecological balance . ",1,1282
the film 's saving graces ,1,3386
"not only better than its predecessor , it may rate as the most magical and most fun family fare of this or any recent holiday season . ",1,21939
also treats the subject with fondness and respect ,1,41248
might have fun in this cinematic sandbox ,1,58076
tootsie ,1,21560
observations on the human condition ,1,35103
make creative contributions to the story and dialogue ,1,45445
is too bad that this likable movie is n't more accomplished . ,1,65755
is the stuff that disney movies are made of . ,1,2276
may be based on a true and historically significant story ,1,56839
appreciation ,1,53049
stylish thriller . ,1,38948
thoroughly satisfying entertainment ,1,20033
"bill plympton , the animation master , ",1,5719
caine makes us watch as his character awakens to the notion that to be human is eventually to have to choose . ,1,21971
animated by an energy that puts the dutiful efforts of more disciplined grade-grubbers to shame ,1,40715
"a walk to remember is an inspirational love story , capturing the innocence and idealism of that first encounter . ",1,40188
got a house full of tots -- do n't worry ,1,15177
"impeccable comic timing , ",1,60209
84 minutes is short ,1,55453
"fierce , glaring and unforgettable . ",1,31143
achieves the feel of a fanciful motion picture ,1,61725
"raised to a new , self-deprecating level ",1,5502
purpose ,1,62768
is spooky and subtly in love with myth ,1,52998
got it right ,1,17608
"is a cinematic car wreck , a catastrophic collision of tastelessness and gall that nevertheless will leave fans clamoring for another ride . ",1,62205
is uniformly superb ,1,49165
keener is marvelous ,1,58871
is competent ,1,63713
"filled with alexandre desplat 's haunting and sublime music , the movie completely transfixes the audience . ",1,21387
"weaver and lapaglia are both excellent , in the kind of low-key way that allows us to forget that they are actually movie folk . ",1,63814
helluva singer ,1,51682
foster breathes life into a roll that could have otherwise been bland and run of the mill . ,1,62228
definitely funny stuff ,1,12694
written and directed with brutal honesty and respect for its audience ,1,18201
is achingly honest and delightfully cheeky ,1,52189
"compelling , provocative and prescient viewing ",1,42721
savvy ,1,24357
the production details are lavish ,1,20363
"some of the biggest names in japanese anime , with impressive results ",1,9781
really funny movie ,1,66379
only one of the best gay love stories ever made ,1,28043
's no denying that burns is a filmmaker with a bright future ahead of him . ,1,35738
best special effects ,1,58687
"famuyiwa 's feature deals with its subject matter in a tasteful , intelligent manner , rather than forcing us to endure every plot contrivance that the cliché-riddled genre can offer . ",1,739
best possible ways ,1,64454
be more than another `` best man '' clone by weaving a theme throughout this funny film ,1,28376
"an undeniably moving film to experience , and ultimately that 's what makes it worth a recommendation ",1,60972
the most wondrous of all hollywood fantasies -- and ,1,37445
"sensitive , cultivated treatment ",1,14317
"lends itself beautifully to filming the teeming life on the reefs , making this gorgeous film a must for everyone from junior scientists to grown-up fish lovers . ",1,54794
entertaining movie ,1,55484
also need movies like tim mccann 's revolution no. 9 . ,1,41219
powerful act ,1,27656
"trial movie , escape movie and unexpected fable ",1,33494
is like binging on cotton candy ,1,46827
"the real star of this movie is the score , as in the songs translate well to film , ",1,59517
"it 's light on the chills and heavy on the atmospheric weirdness , and there are moments of jaw-droppingly odd behavior -- yet i found it weirdly appealing . ",1,10554
works as well as it does because of the performances ,1,37342
