sentence,label,idx
We decided to paint the bathroom a lurid lime green colour.,1,8095
Alyssa kept her syntax book.,1,5882
The director praised the volunteers.,1,3014
The landlord donated a helicopter,1,7706
Everyone hopes to sleep.,1,7640
Daniel became a blond.,1,8338
John saw.,1,7355
It seems to be easy to fool Ben.,1,4277
John talked to a woman who came up to him.,1,6390
Julie maintained her own ideas over the course of the argument.,1,8377
John seems to be honest.,1,4264
John saw more horses than Bill saw or Pete talked to.,1,6557
A boy did not laugh.,1,1009
With what did the baby eat the food?,1,4747
the book of poems with a red cover and with a blue spine takes a very long time to read.,1,5792
The jeweller decorated the ring with the name.,1,2335
Eleanor blamed Marianne's unhappiness on Willoughby.,1,6699
Juliet says that Romeo lies to his parents a lot.,1,5740
The kids in our class have arrived safely.,1,3747
I'll work on it if you do.,1,1600
They stood the statue on the pedestal.,1,2190
The war intensified the poverty.,1,7359
Has Bill eaten his tuna?,1,5989
This book is too dense to be read in one sitting.,1,487
Whether she will win is a question Mary never considered.,1,7268
It is John that I met last night in the park.,1,4998
This girl in the red coat but no boys will put a picture of Bill on your desk before tomorrow.,1,7159
I gave Jack a picture of myself.,1,1982
John is said to be rich.,1,4655
These are the books that we have gone most thoroughly over.,1,4682
Rory will eat the muffins.,1,6068
The dentist was believed to have examined Pat.,1,4302
Shirley seems to have Fred promoted.,1,4704
Jean is likely to leave.,1,6232
Frank threw himself into the sofa.,1,3865
I had eaten the deep fried muffins.,1,5967
I showed few boys any of the books.,1,1006
"No writer, nor any playwright, speaks clearly.",1,1958
They've got it made.,1,2531
Where are you living?,1,7841
That picture of her pleases Jenny.,1,7939
These enthusiastic golfers that I met at the nineteenth hole can be good company.,1,6875
To be able to buy myself a ticket to France would be a dream.,1,6294
Mr Knightley despaired.,1,6690
There is a flowering plant on the windowsill.,1,2444
For Mary to love that boor is a travesty.,1,5833
What she did was e-mail all her friends.,1,6936
That Anne was in conversation with Mr Elliott dismayed Captain.,1,6716
all the students left.,1,7377
Ron expected the sack.,1,8354
Burn letters to him!,1,7864
Either the boys or the girls are going to be there.,1,7078
He established his innocence with the letter.,1,2399
John has been taken to the library.,1,4615
It was this hat that Tom said Al thought you wanted me to make Jack put on.,1,1668
This very heavy parcel was delivered yesterday.,1,6645
Linda winked her eye.,1,3136
Brezhnev had said for Andropov to leave.,1,5859
John believes it to be obvious that Bill left.,1,7671
"Mary, who John asked for help, thinks he is foolish.",1,4936
I'm glad a linguist likes me.,1,5241
John saw more horses than Bill saw or Pete talked to.,1,6557
People are stupid,1,8515
So much did you eat that everyone gasped.,1,233
Who admires what?,1,1022
Carrie touched him on the shoulder.,1,2845
I know you like the back of my hand.,1,3718
"They said that Tom would pay up, and pay up I believe that he did.",1,1740
Calvin will be eating.,1,6076
Carla mopped under the furniture.,1,2654
Herman whipped the cream.,1,2884
What the spy became was too friendly with his new contacts.,1,7224
He will keep up with their expectations.,1,4712
"Sarah promised her old car to Catherine, but then gave it to her son instead.",1,2085
I promised that tomorrow he would be there.,1,1497
There aren't many linguistics students here.,1,456
the book of poems and of fiction from Blackwell takes a very long time to read.,1,5793
Bill seems to him to be handsome.,1,1065
Nora brought the book to Pamela.,1,2683
"We didn't particularly like, but nevertheless ate, the fish raw.",1,674
Ron definitely has bought a dog.,1,7747
Ellen warned Helen that melons were selling.,1,3091
Pat was annoyed by the children's noise and that their parents did nothing to stop it.,1,7119
Some sentences can go on and on and on.,1,3444
"While José won't talk about Mag, he might about Holly.",1,929
Paula hit Deirdre on the back.,1,2798
I've never seen a taller man than my father.,1,5333
John wants to come up with as good a solution as Christine did.,1,5521
"If anybody is spoiling the children, John is.",1,4378
In the summer we always go to France.,1,3847
I washed you.,1,4247
"The students of English from Seoul faced many issues in the process of interpreting, transcribing, and editing the poems.",1,3978
Nina got Bill elected to the committee.,1,4705
Jill dressed hurriedly.,1,2202
Henry cleared the table of dishes.,1,2276
Which book about herself did Jenny say that Anson had written.,1,7702
Either we Americans or I myself will get ourselves in trouble.,1,7068
The scenes to which the censors took objection had to do with the mixed marriage of a woman and a giant panda.,1,1401
The stone knocked the pole into the road.,1,523
Susan wanted Jane to study German.,1,6804
How brave he is!,1,1621
She spruced up before the job interview.,1,3185
I hunted game in the woods.,1,3018
Sasha is gobbling down dumplings faster than I can reheat the meatballs.,1,1336
"John gave Mary, and Joan presented to Fred, books which looked.",1,6606
I just know that the Big 12 South teams everyone knew would win actually won the game.,1,4934
I have wanted to know for many years exactly what happened to Rosa.,1,6581
She was sent a review copy of the book by the publisher.,1,3762
John bought any picture of Queen Elizabeth that was on sale.,1,6420
The witch turned him from a prince into a frog.,1,2296
John wants to come up with as good a solution as Christine did.,1,5521
I thought she was pregnant,1,8259
Martha carved a toy out of a piece of wood for the baby.,1,2932
Brutus murdered Julius Caesar with a dagger.,1,3194
The hardest that it ever snowed was last January 12th.,1,1704
What did he reply?,1,8233
"At the end of his speech, the president thanked any soldier who had fought in the gulf war.",1,6490
Steve pelted Anna.,1,2786
He can simply not have been working.,1,338
The clue that John got was more helpful than the one that Smith got.,1,3454
The man is dancing.,1,5628
The committee disliked her proposal.,1,3728
Andy promised to go.,1,6058
John wants to congratulate himself.,1,6343
People with boxes of old clothes lined up behind the door of the building with the leaky roof.,1,5809
The new policy was approved by the executive committee.,1,4608
I read his every book.,1,1002
I'll work on it if you do.,1,1600
Would the horse budge if you pushed?,1,2535
This book reads well.,1,6978
"That the fuzz wanted him worried John, but that the fuzz wanted John didn't worry Mary.",1,1537
Cynthia gobbled the pizza down .,1,3106
John has often kissed Mary.,1,426
much furniture is needed.,1,3460
"The pictures of Bill, she put on your desk.",1,7599
Palmer is a guy who for for him to stay in school would be stupid.,1,1869
Penny rowed across the lake.,1,3391
Oil spread over the sea shore.,1,8266
Burn letters to Peter!,1,8305
The more examples Mary says that Bill has helped Fred to discover the less I believe her.,1,183
Sharon shivered at the thought of the cold sea.,1,3153
Who believes anything that who says?,1,1031
Which poem did you go to hear a recital of last night?,1,7877
Paula swatted flies.,1,2816
Are you going on holiday before or after Easter? I prefer after Easter.,1,3805
She may have and should have thawed the roast.,1,7177
The shock touched the explosion off.,1,1107
"Kim seems to be just surviving, and Terry in dire need of our help.",1,7110
Mary laughed at John.,1,662
I'm surprised he bought a car.,1,5225
Heidi thinks that Andy has eaten salmon flavored candy bars.,1,5962
John loaded the bricks onto the truck.,1,615
Someone stole my car.,1,423
The barber shaved my chin.,1,3175
Cynthia ate the peach.,1,3097
I don't have any sympathy for urban guerillas.,1,5244
Our love them.,1,774
My favorite language is a language with simple morphology and complicated syntax.,1,5812
She was sent a review copy of the book by the publisher.,1,3762
The lawyer looked into the document.,1,4691
Kim regrets not having seen the movie.,1,4485
That I am here proves that I care.,1,8355
John said Martha sang the aria with gusto.,1,5754
What did he reply?,1,8233
This car stinks.,1,3726
$50 won't even purchase a dress at Bloomingdale's.,1,2753
I have wanted to meet the man who spent so much money planning the assassination of Kennedy for many years.,1,6584
Hardly was there any rain falling.,1,4584
They have no TV.,1,3528
"The more we study verbs, the crazier they get.",1,3
They shopped their way around New York.,1,2491
Heidi thinks that Andy has eaten salmon flavored candy bars.,1,5962
"I don't like the plum brandy, but the port I just love.",1,6675
"The more she looked at pictures, the angrier Mary got.",1,161
Heidi thinks that the salmon flavored candy bars were eaten.,1,5965
On his finger sparkled a magnificent diamond.,1,3202
She thought it was easy for everyone to fit into the car.,1,3585
A hefty sum of money came to him from his grandfather.,1,2063
the book of poems from Blackwell by Robert Burns with a red cover takes a very long time to read.,1,5785
Bees are swarming in the garden.,1,2282
John immediately learned French perfectly.,1,687
Sandy is either a lunatic or under the influence of drugs.,1,6992
John offers many suggestions.,1,3471
Over 120 different contaminants have been dumped into the river.,1,4697
Why did you eat the cake?,1,7808
The big man from New York loves bagels with cream cheese.,1,5751
A review came out yesterday of this article.,1,1483
Many fish are in the sea.,1,8152
Steve tossed the softball.,1,2782
Margaret cut at the bread.,1,2152
Poseidon appears to own a dragon,1,8313
John kicked him.,1,4663
Alan told me who wanted to seem to be invincible.,1,6275
Anson will come to the party.,1,8078
John wonders whether to win.,1,7267
Teresa bottle fed soy milk to the baby.,1,3123
Tabs were kept on the suspect.,1,2437
This handsome man chased a dog.,1,3671
